IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain
IPR006689	Small GTPase superfamily, ARF/SAR type
IPR006689	Small GTPase superfamily, ARF/SAR type
IPR006689	Small GTPase superfamily, ARF/SAR type
IPR006689	Small GTPase superfamily, ARF/SAR type
IPR006689	Small GTPase superfamily, ARF/SAR type
IPR008502	Prolamin-like domain
IPR020587	DNA recombination and repair protein RecA, monomer-monomer interface
IPR013632	DNA recombination and repair protein Rad51-like, C-terminal
IPR020588	DNA recombination and repair protein RecA-like, ATP-binding domain
IPR011940	Meiotic recombination protein Dmc1
IPR008422	Homeobox KN domain
IPR006563	POX domain
IPR001356	Homeobox domain
IPR008422	Homeobox KN domain
IPR006563	POX domain
IPR001356	Homeobox domain
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR017760	L-ascorbate oxidase, plants
IPR001117	Multicopper oxidase, type 1
IPR011707	Multicopper oxidase, type 3
IPR011706	Multicopper oxidase, type 2
IPR008469	DREPP family
IPR008469	DREPP family
IPR008469	DREPP family
IPR009038	GOLD domain
IPR001251	CRAL-TRIO lipid binding domain
IPR011074	CRAL/TRIO, N-terminal domain
IPR001251	CRAL-TRIO lipid binding domain
IPR000719	Protein kinase domain
IPR001611	Leucine-rich repeat
IPR000719	Protein kinase domain
IPR001611	Leucine-rich repeat
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001356	Homeobox domain
IPR001356	Homeobox domain
IPR000047	Helix-turn-helix motif
IPR000047	Helix-turn-helix motif
IPR003106	Leucine zipper, homeobox-associated
IPR000571	Zinc finger, CCCH-type
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR001229	Jacalin-like lectin domain
IPR005175	PPC domain
IPR005175	PPC domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR020846	Major facilitator superfamily domain
IPR003663	Sugar/inositol transporter
IPR005828	Major facilitator,  sugar transporter-like
IPR027330	TPX2 central domain
IPR027329	TPX2, C-terminal
IPR007946	A1 cistron-splicing factor, AAR2
IPR018289	MULE transposase domain
IPR007527	Zinc finger, SWIM-type
IPR004330	FAR1 DNA binding domain
IPR007527	Zinc finger, SWIM-type
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR004033	UbiE/COQ5 methyltransferase
IPR004033	UbiE/COQ5 methyltransferase
IPR004033	UbiE/COQ5 methyltransferase
IPR006565	Bromodomain associated domain
IPR020464	LanC-like protein, eukaryotic
IPR020464	LanC-like protein, eukaryotic
IPR020464	LanC-like protein, eukaryotic
IPR020464	LanC-like protein, eukaryotic
IPR020464	LanC-like protein, eukaryotic
IPR007822	Lanthionine synthetase C-like
IPR007822	Lanthionine synthetase C-like
IPR007822	Lanthionine synthetase C-like
IPR007822	Lanthionine synthetase C-like
IPR007822	Lanthionine synthetase C-like
IPR007822	Lanthionine synthetase C-like
IPR007822	Lanthionine synthetase C-like
IPR021648	Vacuolar protein sorting protein 36, GLUE domain
IPR040608	Snf8/Vps36 family
IPR021648	Vacuolar protein sorting protein 36, GLUE domain
IPR008502	Prolamin-like domain
IPR017930	Myb domain
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain
IPR017930	Myb domain
IPR000743	Glycoside hydrolase, family 28
IPR001289	Nuclear transcription factor Y subunit A
IPR001289	Nuclear transcription factor Y subunit A
IPR001289	Nuclear transcription factor Y subunit A
IPR001289	Nuclear transcription factor Y subunit A
IPR001210	Ribosomal protein S17e
IPR002182	NB-ARC
IPR002182	NB-ARC
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain




IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR002182	NB-ARC
IPR003340	B3 DNA binding domain
IPR003340	B3 DNA binding domain
IPR002812	3-dehydroquinate synthase


IPR033371	Arginine and glutamate-rich protein 1







IPR010614	DEAD2
IPR014013	Helicase superfamily 1/2, ATP-binding domain, DinG/Rad3-type
IPR006555	ATP-dependent helicase, C-terminal
IPR013020	ATP-dependent helicase Rad3/Chl1-like
IPR007526	SWIRM domain
IPR001005	SANT/Myb domain
IPR017884	SANT domain
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR002067	Mitochondrial carrier protein
IPR002067	Mitochondrial carrier protein
IPR002067	Mitochondrial carrier protein
IPR002067	Mitochondrial carrier protein
IPR002067	Mitochondrial carrier protein
IPR002067	Mitochondrial carrier protein
IPR002167	Graves disease carrier protein
IPR002167	Graves disease carrier protein
IPR002167	Graves disease carrier protein
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR018108	Mitochondrial substrate/solute carrier
IPR013744	Fusarinine C esterase SidJ
IPR040911	Exostosin, GT47 domain
IPR012935	Zinc finger, C3HC-like
IPR023485	Phosphotyrosine protein phosphatase I
IPR017867	Protein-tyrosine phosphatase, low molecular weight
IPR017867	Protein-tyrosine phosphatase, low molecular weight
IPR017867	Protein-tyrosine phosphatase, low molecular weight
IPR001857	Ribosomal protein L19
IPR001857	Ribosomal protein L19
IPR001857	Ribosomal protein L19
IPR001857	Ribosomal protein L19
IPR006153	Cation/H+ exchanger
IPR001926	Pyridoxal-phosphate dependent enzyme
IPR006654	Tryptophan synthase, beta chain
IPR004276	Glycosyltransferase family 28, N-terminal domain
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit







IPR003945	NADH-plastoquinone oxidoreductase, chain 5
IPR001516	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal
IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit







IPR003945	NADH-plastoquinone oxidoreductase, chain 5
IPR001516	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal
IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit







IPR003945	NADH-plastoquinone oxidoreductase, chain 5
IPR001516	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal
IPR002156	Ribonuclease H domain
IPR002156	Ribonuclease H domain
IPR000571	Zinc finger, CCCH-type
IPR041367	E3 ligase, CCCH-type zinc finger
IPR000504	RNA recognition motif domain
IPR000571	Zinc finger, CCCH-type
IPR000571	Zinc finger, CCCH-type
IPR000504	RNA recognition motif domain
IPR013097	Stress responsive alpha-beta barrel
IPR013097	Stress responsive alpha-beta barrel
IPR013097	Stress responsive alpha-beta barrel
IPR013097	Stress responsive alpha-beta barrel
IPR004839	Aminotransferase, class I/classII
IPR016073	SKP1 component, POZ domain
IPR016072	SKP1 component, dimerisation
IPR008502	Prolamin-like domain
IPR029903	RmlD-like substrate binding domain
IPR001708	Membrane  insertase YidC/ALB3/OXA1/COX18
IPR028055	Membrane insertase YidC/Oxa1, C-terminal
IPR006525	Cystatin-related, plant
IPR017930	Myb domain
IPR017930	Myb domain
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain

IPR006045	Cupin 1
IPR001929	Germin
IPR001929	Germin
IPR001929	Germin
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000719	Protein kinase domain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR003409	MORN motif
IPR003409	MORN motif
IPR003409	MORN motif
IPR003409	MORN motif
IPR003409	MORN motif
IPR003409	MORN motif
IPR003409	MORN motif
IPR002498	Phosphatidylinositol-4-phosphate 5-kinase, core
IPR002498	Phosphatidylinositol-4-phosphate 5-kinase, core
IPR027492	Dual-specificity RNA methyltransferase RlmN

IPR007197	Radical SAM
IPR002735	Translation initiation factor IF2/IF5
IPR010652	Domain of unknown function DUF1232
IPR006645	NusG, N-terminal
IPR000058	Zinc finger, AN1-type
IPR000058	Zinc finger, AN1-type
IPR002653	Zinc finger, A20-type
IPR002653	Zinc finger, A20-type
IPR004127	Prefoldin alpha-like
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR001752	Kinesin motor domain
IPR010682	Plant self-incompatibility response
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002110	Ankyrin repeat
IPR026961	PGG domain
IPR020683	Ankyrin repeat-containing domain
IPR020683	Ankyrin repeat-containing domain
IPR020683	Ankyrin repeat-containing domain
IPR002110	Ankyrin repeat
IPR026961	PGG domain
IPR020683	Ankyrin repeat-containing domain
IPR020683	Ankyrin repeat-containing domain
IPR020683	Ankyrin repeat-containing domain
IPR040610	SNRNP25, ubiquitin-like domain
IPR001653	Diaminopimelate epimerase, DapF
IPR001653	Diaminopimelate epimerase, DapF
IPR001653	Diaminopimelate epimerase, DapF
IPR013149	Alcohol dehydrogenase, C-terminal
IPR013154	Alcohol dehydrogenase, N-terminal
IPR002921	Fungal lipase-like domain
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR005828	Major facilitator,  sugar transporter-like
IPR020846	Major facilitator superfamily domain
IPR000778	Cytochrome b245, heavy chain
IPR000778	Cytochrome b245, heavy chain
IPR017927	FAD-binding domain, ferredoxin reductase-type
IPR013121	Ferric reductase, NAD binding domain
IPR013112	FAD-binding 8
IPR013130	Ferric reductase transmembrane component-like domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR032867	DYW domain
IPR000612	Proteolipid membrane potential modulator
IPR028565	Mu homology domain
IPR001392	Clathrin adaptor, mu subunit
IPR001392	Clathrin adaptor, mu subunit
IPR001392	Clathrin adaptor, mu subunit
IPR001392	Clathrin adaptor, mu subunit
IPR001392	Clathrin adaptor, mu subunit
IPR001392	Clathrin adaptor, mu subunit
IPR028565	Mu homology domain
IPR004883	Lateral organ boundaries, LOB
IPR004883	Lateral organ boundaries, LOB
IPR000270	PB1 domain
IPR010525	Auxin response factor
IPR003340	B3 DNA binding domain
IPR033389	AUX/IAA domain
IPR033389	AUX/IAA domain
IPR003340	B3 DNA binding domain
IPR004883	Lateral organ boundaries, LOB
IPR004883	Lateral organ boundaries, LOB
IPR004404	Dihydroxy-acid dehydratase
IPR000581	Dihydroxy-acid/6-phosphogluconate dehydratase
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat



IPR006652	Kelch repeat type 1
IPR011498	Kelch repeat type 2


IPR013970	Replication factor A protein 3
IPR013970	Replication factor A protein 3
IPR005135	Endonuclease/exonuclease/phosphatase
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR006050	DNA photolyase, N-terminal
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR006050	DNA photolyase, N-terminal
IPR031631	Glycosyl hydrolase family 63, N-terminal
IPR031335	Glycosyl hydrolase family 63, C-terminal
IPR003388	Reticulon
IPR003388	Reticulon
IPR006501	Pectinesterase inhibitor domain
IPR006501	Pectinesterase inhibitor domain
IPR000070	Pectinesterase, catalytic
IPR000008	C2 domain
IPR000008	C2 domain
IPR031468	Synaptotagmin-like mitochondrial-lipid-binding domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001208	MCM domain
IPR041562	MCM, AAA-lid domain
IPR027925	MCM N-terminal domain
IPR008045	DNA replication licensing factor Mcm2
IPR008045	DNA replication licensing factor Mcm2
IPR008045	DNA replication licensing factor Mcm2
IPR008045	DNA replication licensing factor Mcm2
IPR008045	DNA replication licensing factor Mcm2
IPR001208	MCM domain
IPR001208	MCM domain
IPR001208	MCM domain
IPR001208	MCM domain
IPR001208	MCM domain
IPR008045	DNA replication licensing factor Mcm2
IPR001208	MCM domain
IPR033762	MCM OB domain
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR006045	Cupin 1
IPR003441	NAC domain
IPR003441	NAC domain
IPR001433	Oxidoreductase FAD/NAD(P)-binding
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR017927	FAD-binding domain, ferredoxin reductase-type
IPR009568	Protein of unknown function DUF1184
IPR009568	Protein of unknown function DUF1184
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
IPR003701	DNA double-strand break repair protein Mre11
IPR007281	Mre11, DNA-binding
IPR005512	PRONE domain
IPR005512	PRONE domain
IPR025886	Phloem protein 2-like
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR000192	Aminotransferase class V domain
IPR013094	Alpha/beta hydrolase fold-3
IPR000070	Pectinesterase, catalytic
IPR000571	Zinc finger, CCCH-type
IPR000571	Zinc finger, CCCH-type
IPR000467	G-patch domain
IPR000467	G-patch domain




IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1
IPR004088	K Homology domain, type 1



IPR002020	Citrate synthase
IPR002020	Citrate synthase
IPR002020	Citrate synthase
IPR002020	Citrate synthase
IPR002020	Citrate synthase
IPR002020	Citrate synthase
IPR002020	Citrate synthase
IPR010109	Citrate synthase, eukaryotic-type
IPR032880	Calcium permeable stress-gated cation channel 1, N-terminal transmembrane domain
IPR027815	10TM putative phosphate transporter, cytosolic domain
IPR003864	Calcium-dependent channel, 7TM region, putative phosphate
IPR028942	WHIM1 domain
IPR001356	Homeobox domain
IPR028941	WHIM2 domain
IPR018501	DDT domain
IPR001356	Homeobox domain
IPR007759	HB1/Asxl, restriction endonuclease HTH domain
IPR018501	DDT domain
IPR005202	Transcription factor GRAS
IPR005202	Transcription factor GRAS
IPR004140	Exocyst complex component Exo70
IPR020846	Major facilitator superfamily domain
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR003663	Sugar/inositol transporter
IPR005828	Major facilitator,  sugar transporter-like
IPR002423	Chaperonin Cpn60/TCP-1 family
IPR001844	Chaperonin Cpn60
IPR001844	Chaperonin Cpn60
IPR001844	Chaperonin Cpn60
IPR001844	Chaperonin Cpn60
IPR001844	Chaperonin Cpn60
IPR001844	Chaperonin Cpn60
IPR017930	Myb domain
IPR017877	Myb-like domain
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain
IPR017930	Myb domain
IPR017930	Myb domain
IPR017877	Myb-like domain
IPR003772	Large ribosomal RNA subunit accumulation protein YceD
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR013057	Amino acid transporter, transmembrane domain
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain




IPR002182	NB-ARC
IPR011713	Leucine-rich repeat 3
IPR006968	Root UVB sensitive family
IPR004853	Sugar phosphate transporter domain
IPR000719	Protein kinase domain
IPR004147	UbiB domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR000433	Zinc finger, ZZ-type
IPR000197	Zinc finger, TAZ-type
IPR000197	Zinc finger, TAZ-type
IPR000433	Zinc finger, ZZ-type
IPR031162	CBP/p300-type histone acetyltransferase domain
IPR000433	Zinc finger, ZZ-type
IPR013178	Histone acetyltransferase Rtt109/CBP
IPR000197	Zinc finger, TAZ-type
IPR000197	Zinc finger, TAZ-type
IPR011016	Zinc finger, RING-CH-type
IPR022143	Protein of unknown function DUF3675
IPR011016	Zinc finger, RING-CH-type
IPR001757	P-type ATPase
IPR001757	P-type ATPase
IPR001757	P-type ATPase
IPR006408	P-type ATPase, subfamily IIB
IPR006068	Cation-transporting P-type ATPase, C-terminal

IPR004014	Cation-transporting P-type ATPase, N-terminal

IPR024750	Calcium-transporting P-type ATPase, N-terminal autoinhibitory domain









IPR006925	Vps16, C-terminal
IPR006926	Vps16, N-terminal
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR001046	NRAMP family
IPR012850	Alpha-amylase, C-terminal beta-sheet
IPR006046	Alpha amylase
IPR006046	Alpha amylase
IPR006046	Alpha amylase
IPR006047	Glycosyl hydrolase, family 13, catalytic domain
IPR007877	Protein of unknown function DUF707
IPR007877	Protein of unknown function DUF707
IPR027353	NET domain
IPR001487	Bromodomain
IPR027353	NET domain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR001487	Bromodomain
IPR002048	EF-hand domain
IPR011685	LETM1-like
IPR002048	EF-hand domain
IPR033122	Letm1 ribosome-binding domain
IPR031330	Glycoside hydrolase 35, catalytic domain
IPR041392	Beta-galactosidase, beta-sandwich domain
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR001944	Glycoside hydrolase, family 35
IPR000836	Phosphoribosyltransferase domain
IPR029099	Ribose-phosphate pyrophosphokinase, N-terminal domain
IPR005946	Ribose-phosphate pyrophosphokinase
IPR010686	Oil body-associated protein-like
IPR017451	F-box associated interaction domain
IPR001810	F-box domain
IPR001810	F-box domain
IPR006527	F-box associated domain, type 1
IPR002762	Cobalamin (vitamin B12) biosynthesis CbiX
IPR001509	NAD-dependent epimerase/dehydratase




IPR007527	Zinc finger, SWIM-type
IPR008797	Oxygen-evolving enhancer protein 3
IPR000620	EamA domain
IPR000620	EamA domain
IPR003657	WRKY domain
IPR003657	WRKY domain
IPR027815	10TM putative phosphate transporter, cytosolic domain
IPR003864	Calcium-dependent channel, 7TM region, putative phosphate
IPR032880	Calcium permeable stress-gated cation channel 1, N-terminal transmembrane domain
IPR016140	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
IPR005174	Domain unknown function DUF295
IPR006121	Heavy metal-associated domain, HMA
IPR006121	Heavy metal-associated domain, HMA
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR025715	Chromatin target of PRMT1 protein, C-terminal
IPR002794	Protein of unknown function DUF92, TMEM19
IPR040618	Pre-nudix hydrolase domain
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR000086	NUDIX hydrolase domain
IPR000086	NUDIX hydrolase domain
IPR040618	Pre-nudix hydrolase domain
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR000086	NUDIX hydrolase domain
IPR000086	NUDIX hydrolase domain
IPR040618	Pre-nudix hydrolase domain
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR003293	Nudix hydrolase 6-like
IPR000086	NUDIX hydrolase domain
IPR000086	NUDIX hydrolase domain
IPR027815	10TM putative phosphate transporter, cytosolic domain
IPR032880	Calcium permeable stress-gated cation channel 1, N-terminal transmembrane domain
IPR003864	Calcium-dependent channel, 7TM region, putative phosphate
IPR019734	Tetratricopeptide repeat
IPR001611	Leucine-rich repeat
IPR005135	Endonuclease/exonuclease/phosphatase
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001611	Leucine-rich repeat


IPR001611	Leucine-rich repeat

IPR005135	Endonuclease/exonuclease/phosphatase
IPR006594	LIS1 homology motif
IPR017986	WD40-repeat-containing domain
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR006594	LIS1 homology motif
IPR009605	Domain of unknown function DUF1216
IPR009605	Domain of unknown function DUF1216

IPR016040	NAD(P)-binding domain
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR011713	Leucine-rich repeat 3
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR002182	NB-ARC




IPR013087	Zinc finger C2H2-type
IPR013087	Zinc finger C2H2-type
IPR013087	Zinc finger C2H2-type
IPR013087	Zinc finger C2H2-type
IPR006501	Pectinesterase inhibitor domain
IPR004827	Basic-leucine zipper domain
IPR004827	Basic-leucine zipper domain
IPR004883	Lateral organ boundaries, LOB
IPR004883	Lateral organ boundaries, LOB
IPR001251	CRAL-TRIO lipid binding domain



IPR001251	CRAL-TRIO lipid binding domain
IPR002495	Glycosyl transferase, family 8
IPR023631	Amidase signature domain
IPR023631	Amidase signature domain
IPR001650	Helicase, C-terminal
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR001650	Helicase, C-terminal
IPR011545	DEAD/DEAH box helicase domain
IPR025313	Domain of unknown function DUF4217
IPR014014	RNA helicase, DEAD-box type, Q motif
IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain
IPR006424	Glyceraldehyde-3-phosphate dehydrogenase, type I
IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR004182	GRAM domain
IPR019084	Stm1-like, N-terminal
